 1.000000e+01 -1.690420e+01  1.000000e+01 -1.581491e+00 
 1.023293e+01 -1.670421e+01  1.023293e+01 -1.581411e+00 
 1.047129e+01 -1.650422e+01  1.047129e+01 -1.581336e+00 
 1.071519e+01 -1.630423e+01  1.071519e+01 -1.581267e+00 
 1.096478e+01 -1.610424e+01  1.096478e+01 -1.581203e+00 
 1.122018e+01 -1.590425e+01  1.122018e+01 -1.581145e+00 
 1.148154e+01 -1.570426e+01  1.148154e+01 -1.581092e+00 
 1.174898e+01 -1.550427e+01  1.174898e+01 -1.581045e+00 
 1.202264e+01 -1.530428e+01  1.202264e+01 -1.581003e+00 
 1.230269e+01 -1.510429e+01  1.230269e+01 -1.580966e+00 
 1.258925e+01 -1.490430e+01  1.258925e+01 -1.580935e+00 
 1.288250e+01 -1.470431e+01  1.288250e+01 -1.580910e+00 
 1.318257e+01 -1.450432e+01  1.318257e+01 -1.580889e+00 
 1.348963e+01 -1.430433e+01  1.348963e+01 -1.580874e+00 
 1.380384e+01 -1.410434e+01  1.380384e+01 -1.580865e+00 
 1.412538e+01 -1.390435e+01  1.412538e+01 -1.580860e+00 
 1.445440e+01 -1.370436e+01  1.445440e+01 -1.580861e+00 
 1.479108e+01 -1.350437e+01  1.479108e+01 -1.580868e+00 
 1.513561e+01 -1.330438e+01  1.513561e+01 -1.580880e+00 
 1.548817e+01 -1.310439e+01  1.548817e+01 -1.580897e+00 
 1.584893e+01 -1.290440e+01  1.584893e+01 -1.580919e+00 
 1.621810e+01 -1.270440e+01  1.621810e+01 -1.580947e+00 
 1.659587e+01 -1.250441e+01  1.659587e+01 -1.580980e+00 
 1.698244e+01 -1.230443e+01  1.698244e+01 -1.581019e+00 
 1.737801e+01 -1.210444e+01  1.737801e+01 -1.581063e+00 
 1.778279e+01 -1.190445e+01  1.778279e+01 -1.581112e+00 
 1.819701e+01 -1.170446e+01  1.819701e+01 -1.581167e+00 
 1.862087e+01 -1.150447e+01  1.862087e+01 -1.581227e+00 
 1.905461e+01 -1.130448e+01  1.905461e+01 -1.581293e+00 
 1.949845e+01 -1.110449e+01  1.949845e+01 -1.581365e+00 
 1.995262e+01 -1.090450e+01  1.995262e+01 -1.581442e+00 
 2.041738e+01 -1.070452e+01  2.041738e+01 -1.581525e+00 
 2.089296e+01 -1.050453e+01  2.089296e+01 -1.581613e+00 
 2.137962e+01 -1.030454e+01  2.137962e+01 -1.581707e+00 
 2.187762e+01 -1.010455e+01  2.187762e+01 -1.581807e+00 
 2.238721e+01 -9.904569e+00  2.238721e+01 -1.581913e+00 
 2.290868e+01 -9.704583e+00  2.290868e+01 -1.582025e+00 
 2.344229e+01 -9.504599e+00  2.344229e+01 -1.582143e+00 
 2.398833e+01 -9.304614e+00  2.398833e+01 -1.582266e+00 
 2.454709e+01 -9.104630e+00  2.454709e+01 -1.582396e+00 
 2.511886e+01 -8.904647e+00  2.511886e+01 -1.582532e+00 
 2.570396e+01 -8.704665e+00  2.570396e+01 -1.582674e+00 
 2.630268e+01 -8.504683e+00  2.630268e+01 -1.582822e+00 
 2.691535e+01 -8.304702e+00  2.691535e+01 -1.582977e+00 
 2.754229e+01 -8.104722e+00  2.754229e+01 -1.583138e+00 
 2.818383e+01 -7.904742e+00  2.818383e+01 -1.583306e+00 
 2.884032e+01 -7.704764e+00  2.884032e+01 -1.583481e+00 
 2.951209e+01 -7.504786e+00  2.951209e+01 -1.583662e+00 
 3.019952e+01 -7.304809e+00  3.019952e+01 -1.583850e+00 
 3.090295e+01 -7.104834e+00  3.090295e+01 -1.584045e+00 
 3.162278e+01 -6.904859e+00  3.162278e+01 -1.584247e+00 
 3.235937e+01 -6.704886e+00  3.235937e+01 -1.584456e+00 
 3.311311e+01 -6.504913e+00  3.311311e+01 -1.584672e+00 
 3.388442e+01 -6.304942e+00  3.388442e+01 -1.584895e+00 
 3.467369e+01 -6.104972e+00  3.467369e+01 -1.585127e+00 
 3.548134e+01 -5.905004e+00  3.548134e+01 -1.585365e+00 
 3.630781e+01 -5.705037e+00  3.630781e+01 -1.585612e+00 
 3.715352e+01 -5.505071e+00  3.715352e+01 -1.585866e+00 
 3.801894e+01 -5.305107e+00  3.801894e+01 -1.586128e+00 
 3.890451e+01 -5.105145e+00  3.890451e+01 -1.586399e+00 
 3.981072e+01 -4.905184e+00  3.981072e+01 -1.586677e+00 
 4.073803e+01 -4.705225e+00  4.073803e+01 -1.586964e+00 
 4.168694e+01 -4.505268e+00  4.168694e+01 -1.587260e+00 
 4.265795e+01 -4.305313e+00  4.265795e+01 -1.587564e+00 
 4.365158e+01 -4.105360e+00  4.365158e+01 -1.587878e+00 
 4.466836e+01 -3.905409e+00  4.466836e+01 -1.588200e+00 
 4.570882e+01 -3.705461e+00  4.570882e+01 -1.588531e+00 
 4.677351e+01 -3.505515e+00  4.677351e+01 -1.588872e+00 
 4.786301e+01 -3.305571e+00  4.786301e+01 -1.589223e+00 
 4.897788e+01 -3.105630e+00  4.897788e+01 -1.589583e+00 
 5.011872e+01 -2.905692e+00  5.011872e+01 -1.589953e+00 
 5.128614e+01 -2.705757e+00  5.128614e+01 -1.590334e+00 
 5.248075e+01 -2.505824e+00  5.248075e+01 -1.590724e+00 
 5.370318e+01 -2.305895e+00  5.370318e+01 -1.591126e+00 
 5.495409e+01 -2.105969e+00  5.495409e+01 -1.591538e+00 
 5.623413e+01 -1.906047e+00  5.623413e+01 -1.591961e+00 
 5.754399e+01 -1.706128e+00  5.754399e+01 -1.592395e+00 
 5.888437e+01 -1.506213e+00  5.888437e+01 -1.592841e+00 
 6.025596e+01 -1.306302e+00  6.025596e+01 -1.593298e+00 
 6.165950e+01 -1.106395e+00  6.165950e+01 -1.593767e+00 
 6.309573e+01 -9.064929e-01  6.309573e+01 -1.594249e+00 
 6.456542e+01 -7.065950e-01  6.456542e+01 -1.594743e+00 
 6.606934e+01 -5.067019e-01  6.606934e+01 -1.595249e+00 
 6.760830e+01 -3.068138e-01  6.760830e+01 -1.595769e+00 
 6.918310e+01 -1.069310e-01  6.918310e+01 -1.596301e+00 
 7.079458e+01  9.294631e-02  7.079458e+01 -1.596847e+00 
 7.244360e+01  2.928179e-01  7.244360e+01 -1.597407e+00 
 7.413102e+01  4.926834e-01  7.413102e+01 -1.597982e+00 
 7.585776e+01  6.925426e-01  7.585776e+01 -1.598570e+00 
 7.762471e+01  8.923952e-01  7.762471e+01 -1.599173e+00 
 7.943282e+01  1.092241e+00  7.943282e+01 -1.599791e+00 
 8.128305e+01  1.292079e+00  8.128305e+01 -1.600425e+00 
 8.317638e+01  1.491910e+00  8.317638e+01 -1.601074e+00 
 8.511380e+01  1.691733e+00  8.511380e+01 -1.601739e+00 
