100.000000	47.958794	0.000001
110.000000	47.958793	0.000001
121.000000	47.958793	0.000001
133.100000	47.958792	0.000001
146.410000	47.958791	0.000001
161.051000	47.958790	0.000001
177.156100	47.958789	0.000001
194.871710	47.958788	0.000001
214.358881	47.958787	0.000002
235.794769	47.958786	0.000002
259.374246	47.958784	0.000002
285.311671	47.958783	0.000002
313.842838	47.958781	0.000002
345.227121	47.958779	0.000002
379.749834	47.958777	0.000003
417.724817	47.958775	0.000003
459.497299	47.958772	0.000003
505.447028	47.958769	0.000004
555.991731	47.958766	0.000004
611.590904	47.958763	0.000004
672.749995	47.958759	0.000005
740.024994	47.958755	0.000005
814.027494	47.958750	0.000006
895.430243	47.958745	0.000006
984.973268	47.958740	0.000007
1083.470594	47.958734	0.000008
1191.817654	47.958727	0.000008
1310.999419	47.958720	0.000009
1442.099361	47.958712	0.000010
1586.309297	47.958703	0.000011
1744.940227	47.958693	0.000012
1919.434250	47.958682	0.000014
2111.377675	47.958670	0.000015
2322.515442	47.958658	0.000016
2554.766986	47.958643	0.000018
2810.243685	47.958628	0.000020
3091.268053	47.958610	0.000022
3400.394859	47.958591	0.000024
3740.434344	47.958570	0.000026
4114.477779	47.958547	0.000029
4525.925557	47.958522	0.000032
4978.518112	47.958494	0.000035
5476.369924	47.958464	0.000039
6024.006916	47.958430	0.000043
6626.407608	47.958393	0.000047
7289.048369	47.958352	0.000052
8017.953205	47.958308	0.000057
8819.748526	47.958258	0.000062
9701.723378	47.958204	0.000069
10671.895716	47.958145	0.000075
11739.085288	47.958079	0.000083
12912.993817	47.958007	0.000091
14204.293198	47.957928	0.000100
15624.722518	47.957840	0.000110
17187.194770	47.957744	0.000122
18905.914247	47.957639	0.000134
20796.505672	47.957523	0.000147
22876.156239	47.957395	0.000162
25163.771863	47.957254	0.000178
27680.149049	47.957100	0.000196
30448.163954	47.956930	0.000215
33492.980350	47.956743	0.000237
36842.278385	47.956537	0.000260
40526.506223	47.956310	0.000286
44579.156845	47.956061	0.000315
49037.072530	47.955787	0.000347
53940.779783	47.955486	0.000381
59334.857761	47.955155	0.000419
65268.343537	47.954790	0.000461
71795.177891	47.954389	0.000507
78974.695680	47.953947	0.000558
86872.165248	47.953462	0.000614
95559.381773	47.952928	0.000675
105115.319950	47.952340	0.000742
115626.851945	47.951694	0.000816
127189.537140	47.950982	0.000898
139908.490853	47.950200	0.000987
153899.339939	47.949339	0.001086
169289.273933	47.948392	0.001194
186218.201326	47.947350	0.001314
204840.021459	47.946204	0.001445
225324.023604	47.944942	0.001589
247856.425965	47.943555	0.001747
272642.068561	47.942028	0.001921
299906.275417	47.940347	0.002112
329896.902959	47.938498	0.002323
362886.593255	47.936464	0.002554
399175.252581	47.934225	0.002808
439092.777839	47.931761	0.003087
483002.055623	47.929049	0.003394
531302.261185	47.926065	0.003731
584432.487303	47.922780	0.004101
642875.736034	47.919164	0.004508
707163.309637	47.915184	0.004954
777879.640601	47.910803	0.005445
855667.604661	47.905979	0.005983
941234.365127	47.900668	0.006574
1035357.801640	47.894821	0.007222
1138893.581804	47.888381	0.007933
1252782.939984	47.881288	0.008714
1378061.233982	47.873476	0.009569
1515867.357380	47.864870	0.010507
1667454.093119	47.855389	0.011534
1834199.502430	47.844942	0.012660
2017619.452673	47.833429	0.013892
2219381.397941	47.820738	0.015240
2441319.537735	47.806749	0.016715
2685451.491508	47.791323	0.018327
2953996.640659	47.774311	0.020087
3249396.304725	47.755546	0.022009
3574335.935198	47.734843	0.024104
3931769.528717	47.711996	0.026388
4324946.481589	47.686778	0.028873
4757441.129748	47.658935	0.031576
5233185.242723	47.628187	0.034510
5756503.766995	47.594223	0.037693
6332154.143694	47.556696	0.041139
6965369.558064	47.515224	0.044863
7661906.513870	47.469379	0.048881
8428097.165257	47.418690	0.053205
9270906.881783	47.362635	0.057848
10197997.569961	47.300633	0.062820
11217797.326958	47.232046	0.068127
12339577.059653	47.156166	0.073772
13573534.765619	47.072217	0.079752
14930888.242181	46.979342	0.086059
16423977.066399	46.876604	0.092675
18066374.773038	46.762980	0.099575
19873012.250342	46.637353	0.106720
21860313.475376	46.498512	0.114059
24046344.822914	46.345151	0.121527
26450979.305206	46.175860	0.129042
29096077.235726	45.989132	0.136500
32005684.959299	45.783356	0.143779
35206253.455229	45.556823	0.150738
38726878.800751	45.307720	0.157209
42599566.680827	45.034133	0.163006
46859523.348909	44.734041	0.167925
51545475.683800	44.405314	0.171742
56700023.252180	44.045703	0.174225
62370025.577398	43.652831	0.175137
68607028.135138	43.224182	0.174246
75467730.948652	42.757093	0.171339
83014504.043517	42.248757	0.166234
91315954.447869	41.696232	0.158797
100447549.892656	41.096489	0.148960
110492304.881921	40.446478	0.136737
121541535.370113	39.743247	0.122246
133695688.907125	38.984097	0.105712
147065257.797837	38.166782	0.087482
161771783.577621	37.289729	0.068016
177948961.935383	36.352263	0.047881
195743858.128921	35.354792	0.027719
215318243.941814	34.298938	0.008225
236850068.335995	33.187579	-0.009894
260535075.169594	32.024795	-0.025955
286588582.686554	30.815730	-0.039330
315247440.955209	29.566401	-0.049475
346772185.050730	28.283460	-0.055946
381449403.555803	26.973967	-0.058410
419594343.911384	25.645170	-0.056646
461553778.302522	24.304322	-0.050546
507709156.132775	22.958522	-0.040111
558480071.746052	21.614579	-0.025442
614328078.920657	20.278894	-0.006738
675760886.812723	18.957346	0.015714
743336975.493995	17.655183	0.041546
817670673.043395	16.376913	0.070321
899437740.347735	15.126214	0.101550
989381514.382508	13.905861	0.134704
