100000.000000	47.952655	0.000706
110000.000000	47.952040	0.000777
121000.000000	47.951363	0.000854
133100.000000	47.950619	0.000940
146410.000000	47.949800	0.001033
161051.000000	47.948899	0.001136
177156.100000	47.947908	0.001250
194871.710000	47.946817	0.001374
214358.881000	47.945618	0.001511
235794.769100	47.944298	0.001662
259374.246010	47.942845	0.001828
285311.670611	47.941247	0.002010
313842.837672	47.939488	0.002210
345227.121439	47.937553	0.002430
379749.833583	47.935423	0.002672
417724.816942	47.933080	0.002938
459497.298636	47.930501	0.003230
505447.028499	47.927663	0.003550
555991.731349	47.924539	0.003903
611590.904484	47.921100	0.004290
672749.994933	47.917315	0.004715
740024.994426	47.913149	0.005182
814027.493868	47.908562	0.005695
895430.243255	47.903512	0.006258
984973.267581	47.897952	0.006875
1083470.594339	47.891829	0.007553
1191817.653773	47.885086	0.008296
1310999.419150	47.877659	0.009112
1442099.361065	47.869479	0.010005
1586309.297171	47.860466	0.010985
1744940.226889	47.850537	0.012058
1919434.249578	47.839595	0.013233
2111377.674535	47.827535	0.014519
2322515.441989	47.814241	0.015927
2554766.986188	47.799585	0.017465
2810243.684806	47.783423	0.019146
3091268.053287	47.765598	0.020982
3400394.858616	47.745933	0.022985
3740434.344477	47.724236	0.025168
4114477.778925	47.700288	0.027546
4525925.556818	47.673853	0.030133
4978518.112499	47.644662	0.032944
5476369.923749	47.612422	0.035995
6024006.916124	47.576806	0.039301
6626407.607737	47.537449	0.042878
7289048.368510	47.493948	0.046740
8017953.205361	47.445857	0.050902
8819748.525898	47.392679	0.055377
9701723.378487	47.333866	0.060176
10671895.716336	47.268809	0.065307
11739085.287970	47.196839	0.070775
12912993.816767	47.117215	0.076581
14204293.198443	47.029124	0.082718
15624722.518288	46.931671	0.089175
17187194.770116	46.823878	0.095930
18905914.247128	46.704678	0.102952
20796505.671841	46.572911	0.110197
22876156.239025	46.427319	0.117607
25163771.862927	46.266548	0.125109
27680149.049220	46.089142	0.132610
30448163.954142	45.893543	0.139999
33492980.349556	45.678094	0.147145
36842278.384512	45.441037	0.153893
40526506.222963	45.180511	0.160068
44579156.845259	44.894551	0.165473
49037072.529785	44.581085	0.169896
53940779.782764	44.237928	0.173106
59334857.761040	43.862770	0.174870
65268343.537144	43.453170	0.174951
71795177.890859	43.006543	0.173125
78974695.679944	42.520156	0.169190
86872165.247939	41.991134	0.162987
95559381.772733	41.416488	0.154410
105115319.950006	40.793166	0.143428
115626851.945007	40.118149	0.130103
127189537.139507	39.388582	0.114602
139908490.853458	38.601956	0.097210
153899339.938804	37.756317	0.078327
169289273.932684	36.850495	0.058466
186218201.325953	35.884308	0.038233
204840021.458548	34.858734	0.018302
225324023.604403	33.775993	-0.000625
247856425.964843	32.639548	-0.017845
272642068.561328	31.454007	-0.032700
299906275.417460	30.224959	-0.044598
329896902.959206	28.958751	-0.053041
362886593.255127	27.662259	-0.057637
399175252.580640	26.342658	-0.058106
439092777.838704	25.007219	-0.054282
483002055.622574	23.663141	-0.046110
531302261.184832	22.317398	-0.033638
584432487.303315	20.976622	-0.017016
642875736.033646	19.646978	0.003515
707163309.637011	18.334056	0.027628
777879640.600712	17.042766	0.054921
855667604.660784	15.777231	0.084930
941234365.126862	14.540706	0.117144
