 7.585776e+00 -3.633053e+01  7.585776e+00 -1.394763e-01 
 7.762471e+00 -3.593407e+01  7.762471e+00 -1.426218e-01 
 7.943282e+00 -3.553777e+01  7.943282e+00 -1.458394e-01 
 8.128305e+00 -3.514164e+01  8.128305e+00 -1.491308e-01 
 8.317638e+00 -3.474569e+01  8.317638e+00 -1.524973e-01 
 8.511380e+00 -3.434993e+01  8.511380e+00 -1.559405e-01 
 8.709636e+00 -3.395436e+01  8.709636e+00 -1.594619e-01 
 8.912509e+00 -3.355900e+01  8.912509e+00 -1.630631e-01 
 9.120108e+00 -3.316385e+01  9.120108e+00 -1.667456e-01 
 9.332543e+00 -3.276893e+01  9.332543e+00 -1.705110e-01 
 9.549926e+00 -3.237423e+01  9.549926e+00 -1.743611e-01 
 9.772372e+00 -3.197978e+01  9.772372e+00 -1.782973e-01 
 1.000000e+01 -3.158558e+01  1.000000e+01 -1.823214e-01 
 1.023293e+01 -3.119165e+01  1.023293e+01 -1.864350e-01 
 1.047129e+01 -3.079800e+01  1.047129e+01 -1.906399e-01 
 1.071519e+01 -3.040463e+01  1.071519e+01 -1.949376e-01 
 1.096478e+01 -3.001157e+01  1.096478e+01 -1.993300e-01 
 1.122018e+01 -2.961882e+01  1.122018e+01 -2.038188e-01 
 1.148154e+01 -2.922640e+01  1.148154e+01 -2.084057e-01 
 1.174898e+01 -2.883432e+01  1.174898e+01 -2.130925e-01 
 1.202264e+01 -2.844261e+01  1.202264e+01 -2.178809e-01 
 1.230269e+01 -2.805126e+01  1.230269e+01 -2.227727e-01 
 1.258925e+01 -2.766031e+01  1.258925e+01 -2.277697e-01 
 1.288250e+01 -2.726976e+01  1.288250e+01 -2.328737e-01 
 1.318257e+01 -2.687963e+01  1.318257e+01 -2.380864e-01 
 1.348963e+01 -2.648995e+01  1.348963e+01 -2.434095e-01 
 1.380384e+01 -2.610072e+01  1.380384e+01 -2.488450e-01 
 1.412538e+01 -2.571198e+01  1.412538e+01 -2.543945e-01 
 1.445440e+01 -2.532373e+01  1.445440e+01 -2.600598e-01 
 1.479108e+01 -2.493601e+01  1.479108e+01 -2.658426e-01 
 1.513561e+01 -2.454882e+01  1.513561e+01 -2.717446e-01 
 1.548817e+01 -2.416220e+01  1.548817e+01 -2.777676e-01 
 1.584893e+01 -2.377617e+01  1.584893e+01 -2.839132e-01 
 1.621810e+01 -2.339075e+01  1.621810e+01 -2.901831e-01 
 1.659587e+01 -2.300596e+01  1.659587e+01 -2.965788e-01 
 1.698244e+01 -2.262183e+01  1.698244e+01 -3.031020e-01 
 1.737801e+01 -2.223839e+01  1.737801e+01 -3.097541e-01 
 1.778279e+01 -2.185566e+01  1.778279e+01 -3.165368e-01 
 1.819701e+01 -2.147368e+01  1.819701e+01 -3.234513e-01 
 1.862087e+01 -2.109246e+01  1.862087e+01 -3.304992e-01 
 1.905461e+01 -2.071204e+01  1.905461e+01 -3.376817e-01 
 1.949845e+01 -2.033245e+01  1.949845e+01 -3.450000e-01 
 1.995262e+01 -1.995372e+01  1.995262e+01 -3.524554e-01 
 2.041738e+01 -1.957589e+01  2.041738e+01 -3.600489e-01 
 2.089296e+01 -1.919897e+01  2.089296e+01 -3.677816e-01 
 2.137962e+01 -1.882302e+01  2.137962e+01 -3.756544e-01 
 2.187762e+01 -1.844806e+01  2.187762e+01 -3.836681e-01 
 2.238721e+01 -1.807412e+01  2.238721e+01 -3.918234e-01 
 2.290868e+01 -1.770125e+01  2.290868e+01 -4.001209e-01 
 2.344229e+01 -1.732948e+01  2.344229e+01 -4.085612e-01 
 2.398833e+01 -1.695884e+01  2.398833e+01 -4.171445e-01 
 2.454709e+01 -1.658937e+01  2.454709e+01 -4.258712e-01 
 2.511886e+01 -1.622112e+01  2.511886e+01 -4.347413e-01 
 2.570396e+01 -1.585412e+01  2.570396e+01 -4.437548e-01 
 2.630268e+01 -1.548841e+01  2.630268e+01 -4.529115e-01 
