 7.585776e+00 -1.606907e+01  7.585776e+00 -1.588129e+00 
 7.762471e+00 -1.586913e+01  7.762471e+00 -1.588532e+00 
 7.943282e+00 -1.566920e+01  7.943282e+00 -1.588946e+00 
 8.128305e+00 -1.546926e+01  8.128305e+00 -1.589368e+00 
 8.317638e+00 -1.526933e+01  8.317638e+00 -1.589801e+00 
 8.511380e+00 -1.506941e+01  8.511380e+00 -1.590243e+00 
 8.709636e+00 -1.486948e+01  8.709636e+00 -1.590696e+00 
 8.912509e+00 -1.466956e+01  8.912509e+00 -1.591159e+00 
 9.120108e+00 -1.446965e+01  9.120108e+00 -1.591634e+00 
 9.332543e+00 -1.426974e+01  9.332543e+00 -1.592119e+00 
 9.549926e+00 -1.406983e+01  9.549926e+00 -1.592615e+00 
 9.772372e+00 -1.386993e+01  9.772372e+00 -1.593123e+00 
 1.000000e+01 -1.367003e+01  1.000000e+01 -1.593643e+00 
 1.023293e+01 -1.347014e+01  1.023293e+01 -1.594175e+00 
 1.047129e+01 -1.327025e+01  1.047129e+01 -1.594720e+00 
 1.071519e+01 -1.307036e+01  1.071519e+01 -1.595277e+00 
 1.096478e+01 -1.287049e+01  1.096478e+01 -1.595847e+00 
 1.122018e+01 -1.267061e+01  1.122018e+01 -1.596430e+00 
 1.148154e+01 -1.247075e+01  1.148154e+01 -1.597027e+00 
 1.174898e+01 -1.227089e+01  1.174898e+01 -1.597637e+00 
 1.202264e+01 -1.207104e+01  1.202264e+01 -1.598262e+00 
 1.230269e+01 -1.187119e+01  1.230269e+01 -1.598902e+00 
 1.258925e+01 -1.167135e+01  1.258925e+01 -1.599556e+00 
 1.288250e+01 -1.147152e+01  1.288250e+01 -1.600226e+00 
 1.318257e+01 -1.127170e+01  1.318257e+01 -1.600911e+00 
 1.348963e+01 -1.107188e+01  1.348963e+01 -1.601612e+00 
 1.380384e+01 -1.087207e+01  1.380384e+01 -1.602329e+00 
 1.412538e+01 -1.067228e+01  1.412538e+01 -1.603063e+00 
 1.445440e+01 -1.047249e+01  1.445440e+01 -1.603814e+00 
 1.479108e+01 -1.027271e+01  1.479108e+01 -1.604583e+00 
 1.513561e+01 -1.007295e+01  1.513561e+01 -1.605369e+00 
 1.548817e+01 -9.873189e+00  1.548817e+01 -1.606174e+00 
 1.584893e+01 -9.673444e+00  1.584893e+01 -1.606997e+00 
 1.621810e+01 -9.473711e+00  1.621810e+01 -1.607839e+00 
 1.659587e+01 -9.273991e+00  1.659587e+01 -1.608701e+00 
 1.698244e+01 -9.074284e+00  1.698244e+01 -1.609584e+00 
 1.737801e+01 -8.874591e+00  1.737801e+01 -1.610486e+00 
 1.778279e+01 -8.674912e+00  1.778279e+01 -1.611410e+00 
 1.819701e+01 -8.475249e+00  1.819701e+01 -1.612354e+00 
 1.862087e+01 -8.275601e+00  1.862087e+01 -1.613321e+00 
 1.905461e+01 -8.075970e+00  1.905461e+01 -1.614311e+00 
 1.949845e+01 -7.876356e+00  1.949845e+01 -1.615323e+00 
 1.995262e+01 -7.676760e+00  1.995262e+01 -1.616359e+00 
 2.041738e+01 -7.477183e+00  2.041738e+01 -1.617418e+00 
 2.089296e+01 -7.277627e+00  2.089296e+01 -1.618503e+00 
 2.137962e+01 -7.078091e+00  2.137962e+01 -1.619612e+00 
 2.187762e+01 -6.878577e+00  2.187762e+01 -1.620748e+00 
 2.238721e+01 -6.679085e+00  2.238721e+01 -1.621909e+00 
 2.290868e+01 -6.479618e+00  2.290868e+01 -1.623097e+00 
 2.344229e+01 -6.280175e+00  2.344229e+01 -1.624313e+00 
 2.398833e+01 -6.080759e+00  2.398833e+01 -1.625558e+00 
 2.454709e+01 -5.881371e+00  2.454709e+01 -1.626831e+00 
 2.511886e+01 -5.682011e+00  2.511886e+01 -1.628133e+00 
 2.570396e+01 -5.482681e+00  2.570396e+01 -1.629465e+00 
 2.630268e+01 -5.283382e+00  2.630268e+01 -1.630829e+00 
 2.691535e+01 -5.084117e+00  2.691535e+01 -1.632224e+00 
 2.754229e+01 -4.884885e+00  2.754229e+01 -1.633651e+00 
 2.818383e+01 -4.685691e+00  2.818383e+01 -1.635111e+00 
 2.884032e+01 -4.486533e+00  2.884032e+01 -1.636605e+00 
 2.951209e+01 -4.287416e+00  2.951209e+01 -1.638133e+00 
 3.019952e+01 -4.088339e+00  3.019952e+01 -1.639697e+00 
 3.090295e+01 -3.889307e+00  3.090295e+01 -1.641296e+00 
 3.162278e+01 -3.690319e+00  3.162278e+01 -1.642933e+00 
 3.235937e+01 -3.491379e+00  3.235937e+01 -1.644607e+00 
 3.311311e+01 -3.292488e+00  3.311311e+01 -1.646320e+00 
 3.388442e+01 -3.093650e+00  3.388442e+01 -1.648073e+00 
 3.467369e+01 -2.894866e+00  3.467369e+01 -1.649865e+00 
 3.548134e+01 -2.696139e+00  3.548134e+01 -1.651699e+00 
 3.630781e+01 -2.497471e+00  3.630781e+01 -1.653575e+00 
 3.715352e+01 -2.298866e+00  3.715352e+01 -1.655494e+00 
 3.801894e+01 -2.100326e+00  3.801894e+01 -1.657457e+00 
 3.890451e+01 -1.901855e+00  3.890451e+01 -1.659466e+00 
 3.981072e+01 -1.703455e+00  3.981072e+01 -1.661520e+00 
 4.073803e+01 -1.505130e+00  4.073803e+01 -1.663621e+00 
 4.168694e+01 -1.306882e+00  4.168694e+01 -1.665771e+00 
 4.265795e+01 -1.108717e+00  4.265795e+01 -1.667969e+00 
 4.365158e+01 -9.106377e-01  4.365158e+01 -1.670218e+00 
 4.466836e+01 -7.126477e-01  4.466836e+01 -1.672518e+00 
 4.570882e+01 -5.147515e-01  4.570882e+01 -1.674871e+00 
 4.677351e+01 -3.169534e-01  4.677351e+01 -1.677277e+00 
 4.786301e+01 -1.192578e-01  4.786301e+01 -1.679738e+00 
 4.897788e+01  7.833043e-02  4.897788e+01 -1.682256e+00 
 5.011872e+01  2.758064e-01  5.011872e+01 -1.684830e+00 
 5.128614e+01  4.731650e-01  5.128614e+01 -1.687462e+00 
 5.248075e+01  6.704009e-01  5.248075e+01 -1.690155e+00 
 5.370318e+01  8.675083e-01  5.370318e+01 -1.692908e+00 
 5.495409e+01  1.064481e+00  5.495409e+01 -1.695723e+00 
 5.623413e+01  1.261314e+00  5.623413e+01 -1.698602e+00 
 5.754399e+01  1.458000e+00  5.754399e+01 -1.701546e+00 
 5.888437e+01  1.654532e+00  5.888437e+01 -1.704556e+00 
 6.025596e+01  1.850904e+00  6.025596e+01 -1.707634e+00 
 6.165950e+01  2.047109e+00  6.165950e+01 -1.710780e+00 
 6.309573e+01  2.243137e+00  6.309573e+01 -1.713998e+00 
 6.456542e+01  2.438983e+00  6.456542e+01 -1.717287e+00 
 6.606934e+01  2.634637e+00  6.606934e+01 -1.720649e+00 
 6.760830e+01  2.830090e+00  6.760830e+01 -1.724086e+00 
 6.918310e+01  3.025335e+00  6.918310e+01 -1.727599e+00 
 7.079458e+01  3.220361e+00  7.079458e+01 -1.731191e+00 
 7.244360e+01  3.415158e+00  7.244360e+01 -1.734861e+00 
 7.413102e+01  3.609717e+00  7.413102e+01 -1.738613e+00 
 7.585776e+01  3.804027e+00  7.585776e+01 -1.742447e+00 
 7.762471e+01  3.998076e+00  7.762471e+01 -1.746365e+00 
 7.943282e+01  4.191854e+00  7.943282e+01 -1.750369e+00 
 8.128305e+01  4.385347e+00  8.128305e+01 -1.754460e+00 
 8.317638e+01  4.578545e+00  8.317638e+01 -1.758640e+00 
 8.511380e+01  4.771433e+00  8.511380e+01 -1.762911e+00 
 8.709636e+01  4.963998e+00  8.709636e+01 -1.767274e+00 
 8.912509e+01  5.156227e+00  8.912509e+01 -1.771730e+00 
 9.120108e+01  5.348104e+00  9.120108e+01 -1.776283e+00 
 9.332543e+01  5.539614e+00  9.332543e+01 -1.780932e+00 
 9.549926e+01  5.730742e+00  9.549926e+01 -1.785680e+00 
 9.772372e+01  5.921470e+00  9.772372e+01 -1.790529e+00 
 1.000000e+02  6.111783e+00  1.000000e+02 -1.795480e+00 
 1.023293e+02  6.301662e+00  1.023293e+02 -1.800534e+00 
 1.047129e+02  6.491089e+00  1.047129e+02 -1.805695e+00 
 1.071519e+02  6.680045e+00  1.071519e+02 -1.810962e+00 
 1.096478e+02  6.868511e+00  1.096478e+02 -1.816338e+00 
 1.122018e+02  7.056465e+00  1.122018e+02 -1.821825e+00 
 1.148154e+02  7.243887e+00  1.148154e+02 -1.827423e+00 
 1.174898e+02  7.430754e+00  1.174898e+02 -1.833135e+00 
 1.202264e+02  7.617045e+00  1.202264e+02 -1.838962e+00 
 1.230269e+02  7.802736e+00  1.230269e+02 -1.844906e+00 
 1.258925e+02  7.987802e+00  1.258925e+02 -1.850968e+00 
 1.288250e+02  8.172218e+00  1.288250e+02 -1.857149e+00 
 1.318257e+02  8.355959e+00  1.318257e+02 -1.863452e+00 
 1.348963e+02  8.538999e+00  1.348963e+02 -1.869876e+00 
 1.380384e+02  8.721309e+00  1.380384e+02 -1.876425e+00 
 1.412538e+02  8.902862e+00  1.412538e+02 -1.883098e+00 
 1.445440e+02  9.083628e+00  1.445440e+02 -1.889897e+00 
 1.479108e+02  9.263578e+00  1.479108e+02 -1.896823e+00 
 1.513561e+02  9.442681e+00  1.513561e+02 -1.903877e+00 
 1.548817e+02  9.620905e+00  1.548817e+02 -1.911061e+00 
 1.584893e+02  9.798218e+00  1.584893e+02 -1.918374e+00 
 1.621810e+02  9.974588e+00  1.621810e+02 -1.925818e+00 
 1.659587e+02  1.014998e+01  1.659587e+02 -1.933394e+00 
 1.698244e+02  1.032436e+01  1.698244e+02 -1.941101e+00 
 1.737801e+02  1.049769e+01  1.737801e+02 -1.948941e+00 
 1.778279e+02  1.066994e+01  1.778279e+02 -1.956913e+00 
 1.819701e+02  1.084107e+01  1.819701e+02 -1.965019e+00 
 1.862087e+02  1.101103e+01  1.862087e+02 -1.973257e+00 
 1.905461e+02  1.117981e+01  1.905461e+02 -1.981628e+00 
 1.949845e+02  1.134735e+01  1.949845e+02 -1.990132e+00 
 1.995262e+02  1.151361e+01  1.995262e+02 -1.998768e+00 
 2.041738e+02  1.167856e+01  2.041738e+02 -2.007536e+00 
 2.089296e+02  1.184216e+01  2.089296e+02 -2.016434e+00 
 2.137962e+02  1.200436e+01  2.137962e+02 -2.025463e+00 
 2.187762e+02  1.216513e+01  2.187762e+02 -2.034621e+00 
 2.238721e+02  1.232443e+01  2.238721e+02 -2.043907e+00 
 2.290868e+02  1.248221e+01  2.290868e+02 -2.053319e+00 
 2.344229e+02  1.263843e+01  2.344229e+02 -2.062855e+00 
 2.398833e+02  1.279305e+01  2.398833e+02 -2.072514e+00 
 2.454709e+02  1.294603e+01  2.454709e+02 -2.082294e+00 
 2.511886e+02  1.309734e+01  2.511886e+02 -2.092193e+00 
 2.570396e+02  1.324692e+01  2.570396e+02 -2.102207e+00 
 2.630268e+02  1.339474e+01  2.630268e+02 -2.112334e+00 
 2.691535e+02  1.354077e+01  2.691535e+02 -2.122572e+00 
 2.754229e+02  1.368495e+01  2.754229e+02 -2.132917e+00 
 2.818383e+02  1.382726e+01  2.818383e+02 -2.143366e+00 
 2.884032e+02  1.396766e+01  2.884032e+02 -2.153915e+00 
 2.951209e+02  1.410611e+01  2.951209e+02 -2.164561e+00 
 3.019952e+02  1.424257e+01  3.019952e+02 -2.175299e+00 
 3.090295e+02  1.437701e+01  3.090295e+02 -2.186126e+00 
 3.162278e+02  1.450940e+01  3.162278e+02 -2.197036e+00 
 3.235937e+02  1.463972e+01  3.235937e+02 -2.208026e+00 
 3.311311e+02  1.476792e+01  3.311311e+02 -2.219090e+00 
 3.388442e+02  1.489398e+01  3.388442e+02 -2.230224e+00 
 3.467369e+02  1.501787e+01  3.467369e+02 -2.241423e+00 
 3.548134e+02  1.513958e+01  3.548134e+02 -2.252680e+00 
 3.630781e+02  1.525908e+01  3.630781e+02 -2.263992e+00 
 3.715352e+02  1.537634e+01  3.715352e+02 -2.275351e+00 
 3.801894e+02  1.549135e+01  3.801894e+02 -2.286753e+00 
 3.890451e+02  1.560410e+01  3.890451e+02 -2.298192e+00 
 3.981072e+02  1.571458e+01  3.981072e+02 -2.309662e+00 
 4.073803e+02  1.582276e+01  4.073803e+02 -2.321156e+00 
 4.168694e+02  1.592864e+01  4.168694e+02 -2.332669e+00 
 4.265795e+02  1.603222e+01  4.265795e+02 -2.344195e+00 
 4.365158e+02  1.613349e+01  4.365158e+02 -2.355728e+00 
 4.466836e+02  1.623245e+01  4.466836e+02 -2.367261e+00 
