 1.000000e+02  2.329447e+00  1.000000e+02  1.544020e+00 
 1.023293e+02  2.529076e+00  1.023293e+02  1.543805e+00 
 1.047129e+02  2.728716e+00  1.047129e+02  1.543576e+00 
 1.071519e+02  2.928366e+00  1.071519e+02  1.543333e+00 
 1.096478e+02  3.128024e+00  1.096478e+02  1.543076e+00 
 1.122018e+02  3.327691e+00  1.122018e+02  1.542804e+00 
 1.148154e+02  3.527366e+00  1.148154e+02  1.542517e+00 
 1.174898e+02  3.727047e+00  1.174898e+02  1.542216e+00 
 1.202264e+02  3.926735e+00  1.202264e+02  1.541900e+00 
 1.230269e+02  4.126428e+00  1.230269e+02  1.541568e+00 
 1.258925e+02  4.326127e+00  1.258925e+02  1.541222e+00 
 1.288250e+02  4.525830e+00  1.288250e+02  1.540860e+00 
 1.318257e+02  4.725536e+00  1.318257e+02  1.540482e+00 
 1.348963e+02  4.925246e+00  1.348963e+02  1.540088e+00 
 1.380384e+02  5.124959e+00  1.380384e+02  1.539678e+00 
 1.412538e+02  5.324673e+00  1.412538e+02  1.539252e+00 
 1.445440e+02  5.524389e+00  1.445440e+02  1.538809e+00 
 1.479108e+02  5.724105e+00  1.479108e+02  1.538349e+00 
 1.513561e+02  5.923822e+00  1.513561e+02  1.537872e+00 
 1.548817e+02  6.123538e+00  1.548817e+02  1.537378e+00 
 1.584893e+02  6.323254e+00  1.584893e+02  1.536866e+00 
 1.621810e+02  6.522967e+00  1.621810e+02  1.536337e+00 
 1.659587e+02  6.722679e+00  1.659587e+02  1.535789e+00 
 1.698244e+02  6.922388e+00  1.698244e+02  1.535223e+00 
 1.737801e+02  7.122093e+00  1.737801e+02  1.534638e+00 
 1.778279e+02  7.321794e+00  1.778279e+02  1.534034e+00 
 1.819701e+02  7.521491e+00  1.819701e+02  1.533410e+00 
 1.862087e+02  7.721182e+00  1.862087e+02  1.532767e+00 
 1.905461e+02  7.920868e+00  1.905461e+02  1.532104e+00 
 1.949845e+02  8.120546e+00  1.949845e+02  1.531420e+00 
 1.995262e+02  8.320218e+00  1.995262e+02  1.530716e+00 
 2.041738e+02  8.519881e+00  2.041738e+02  1.529990e+00 
